OB(O)c1cc(Br)cc(OC(F)(F)F)c1 ZINC000169748110
CCOc1cc(Br)cc(B(O)O)c1 ZINC000169748118
COc1cc(Br)cc(B(O)O)c1 ZINC000169748119
CC(C)Oc1cc(Br)cc(B(O)O)c1 ZINC000169748127
CC(C)Oc1cccc(B(O)O)c1F ZINC000169748130
CC1(C)OB(c2cc(C=O)cc(OC(F)(F)F)c2)OC1(C)C ZINC000169748180
CC1(C)OB(c2ccnc3c2OCCO3)OC1(C)C ZINC000169794001
CC1(C)OB(c2cnc3c(c2)OCCO3)OC1(C)C ZINC000169794003
COc1cc(B2OC(C)(C)C(C)(C)O2)cnc1OC ZINC000169794062
CC1(C)OB(c2cccc(OC(F)(F)F)c2)OC1(C)C ZINC000169794288
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1N ZINC000169794292
CCOC(=O)COc1cccc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169794548
COc1cccc(B(O)O)c1O ZINC000169794556
COc1ccc(B(O)O)cc1OC1CCCC1 ZINC000169794557
COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC(C)=O ZINC000169794576
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1OCc1ccccc1 ZINC000169794584
CC1(C)OB(c2cccc(OCC3OCCO3)c2)OC1(C)C ZINC000169794586
OB(O)c1cccc(OCC2CC2)c1 ZINC000169794588
COc1ccc(B(O)O)cc1OCc1ccccc1 ZINC000169794599
OB(O)c1ccc(Cl)c(OCc2ccccc2)c1Cl ZINC000169794600
COc1cc(B(O)O)cc(Cl)c1OCc1ccccc1 ZINC000169794636
COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1OCc1ccccc1 ZINC000169794652
COc1ccc(COc2cncc(B3OC(C)(C)C(C)(C)O3)c2)cc1 ZINC000169794687
CCOc1cc(B(O)O)ccc1C#N ZINC000169794709
CC1(C)OB(c2ccc(N)c(OC(F)(F)F)c2)OC1(C)C ZINC000169794719
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(C(F)(F)F)c1 ZINC000169794726
OB(O)c1cc(O)cc(OC(F)(F)F)c1 ZINC000169794739
CC(C)Oc1cc(B(O)O)ccc1C#N ZINC000169794744
